Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Linux raspberrypi 6.1.21-v8+ #1642 SMP PREEMPT Mon Apr  3 17:24:16 BST 2023 aarch64 GNU/Linux
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: INITIAL 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_OTHER
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: Pthread policy is SCHED_FIFO
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: main thread running on CPU=2, CPUs =
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  0
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  1
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  2
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]:  3
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: 
Sep 10 21:09:40 raspberrypi [COURSE:1][ASSIGNMENT:4]: starter thread running on CPU=3
Sep 10 21:09:44 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=40, sum[0...40]=820, running on CPU=3, start=1726016984.477768, stop=1726016984.673577
Sep 10 21:09:44 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=41, sum[0...41]=861, running on CPU=3, start=1726016984.673730, stop=1726016984.873999
Sep 10 21:09:45 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=42, sum[0...42]=903, running on CPU=3, start=1726016984.874145, stop=1726016985.078305
Sep 10 21:09:45 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=43, sum[0...43]=946, running on CPU=3, start=1726016985.078451, stop=1726016985.287051
Sep 10 21:09:45 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=44, sum[0...44]=990, running on CPU=3, start=1726016985.287206, stop=1726016985.548917
Sep 10 21:09:45 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=45, sum[0...45]=1035, running on CPU=3, start=1726016985.549071, stop=1726016985.767128
Sep 10 21:09:45 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=46, sum[0...46]=1081, running on CPU=3, start=1726016985.767276, stop=1726016985.989270
Sep 10 21:09:46 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=47, sum[0...47]=1128, running on CPU=3, start=1726016985.989420, stop=1726016986.215905
Sep 10 21:09:46 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=48, sum[0...48]=1176, running on CPU=3, start=1726016986.216050, stop=1726016986.499528
Sep 10 21:09:46 raspberrypi [COURSE:1][ASSIGNMENT:4]: Thread idx=49, sum[0...49]=1225, running on CPU=3, start=1726016986.499672, stop=1726016986.735528
